Name	NGT_mm12_10591	NGT_mm74_10969	NGT_mm68_10586	NGT_mm64_10968	NGT_mm63_10589	NGT_mm57_10578	NGT_mm54_10571	NGT_mm53_10590	NGT_mm76_10748	NGT_mm50_10581	NGT_mm48_10080	NGT_mm37_10587	NGT_mm36_10178	NGT_mm20_10597	NGT_mm15_10664	NGT_mm14_10600	NGT_mm51_10588	DM2_mm62_10517	DM2_mm61_10197	DM2_mm55_10209	DM2_mm47_10210	DM2_mm39_10122	DM2_mm34_10212	DM2_mm32_10194	DM2_mm10_10208	DM2_mm28_10169	DM2_mm21_10126	DM2_mm08_10204	DM2_mm07_10201	DM2_mm05_10189	DM2_mm03_10179	DM2_mm77_10131	DM2_mm31_10186	DM2_mm81_10199
215538_at	37.8	35.45	29.88	26.04	38.56	15.74	37.03	38.09	26.88	31.57	38.54	33.51	49.21	38.12	61.6	44.1	42.25	18.29	34.64	46.26	37.99	62.57	57.2	24.8	41.6	39.35	48.69	17.89	19.76	53.21	6.279	25.73	27.49	54.69
CARD4	154.1	88.43	106.0	92.57	53.28	101.1	65.82	194.7	193.6	294.1	65.57	22.39	277.1	120.8	119.1	140.0	21.96	90.59	181.2	129.7	222.9	69.09	33.37	60.01	64.9	33.83	58.07	22.99	58.67	319.2	124.5	84.8	68.79	215.4
EPN1	47.1	45.83	8.344	15.24	12.7	47.41	15.29	35.4	30.91	32.09	6.218	38.99	47.94	9.775	29.24	5.373	45.62	15.95	11.22	107.2	43.97	49.68	16.39	27.43	28.29	26.64	85.48	17.93	9.935	54.78	9.928	13.98	34.87	6.752
C14orf132	27.6	54.09	20.26	23.86	63.79	21.95	76.1	28.87	38.65	94.39	29.19	12.39	9.356	20.95	29.65	49.55	19.07	6.042	38.89	11.64	24.62	52.69	19.68	17.74	55.05	7.854	50.47	22.6	22.3	46.52	52.35	12.55	12.42	102.1
RTN3	120.5	90.29	113.4	74.59	127.7	111.8	80.68	30.72	93.77	81.04	154.2	161.0	179.4	149.1	211.0	177.2	14.77	220.8	116.6	145.4	140.0	130.9	173.4	100.6	41.55	94.92	131.2	139.1	141.9	63.93	111.8	77.79	112.6	22.74
PODXL2	3.5	3.375	8.221	0.9126	1.757	2.339	0.5677	1.31	2.825	0.6227	2.005	6.042	3.736	1.172	0.8987	2.901	3.571	7.624	1.733	2.884	2.356	2.268	0.7511	1.833	3.806	3.977	10.28	1.299	2.152	2.748	4.637	8.167	3.739	0.5795
RBM17	2.5	21.18	1.906	15.13	0.8903	4.416	1.543	8.556	1.809	10.99	0.8676	1.74	1.764	0.5886	8.694	1.216	3.279	15.32	9.5	9.555	1.621	1.11	9.716	3.211	4.631	1.269	2.152	1.77	5.744	4.79	13.72	2.256	1.736	13.4
CORO1A	5.8	7.428	6.238	3.458	2.306	6.34	2.783	3.34	6.774	2.27	5.197	5.156	3.232	6.338	15.69	2.93	8.687	2.254	5.047	6.008	8.342	5.783	2.757	5.005	5.081	5.586	3.23	5.285	22.57	2.801	6.75	10.14	5.962	5.709
SYCP2	8.1	0.2714	4.177	0.3471	12.04	0.3088	4.746	8.267	7.483	2.933	15.86	7.788	7.406	5.229	9.076	4.413	0.8374	5.637	10.01	0.6419	9.975	9.081	9.916	7.652	9.656	3.956	1.521	3.952	14.11	14.31	8.01	1.273	8.136	19.22
VCX-C /// VCX2 /// VCX3 /// VCY /// VCX	24.6	39.74	1.883	59.65	28.68	20.76	5.775	29.83	7.239	5.893	23.85	45.68	53.21	10.04	4.492	24.55	37.01	7.452	3.26	34.06	14.08	41.13	17.89	35.58	58.26	31.72	20.32	21.85	27.64	28.87	44.02	24.77	56.33	17.13
