Gene	signal_to_noise_ratio
MS4A6A	-0.8085726211437111
FAM35A	-0.7593600653776031
213481_at	-0.749358049156811
PDZK2	-0.7462856479491674
MIS12	-0.736805390016921
TTC11	-0.7222639514989986
217075_x_at	-0.6546335473494043
SITPEC	-0.6421695271191598
CCNB1IP1	-0.6390223154884603
GTF3A	-0.6308810165813724
216812_at	-0.6297762329546204
TCF7	-0.6182334269948248
C10orf84	-0.6161142272551445
RPL5	-0.5946510474957434
ProSAPiP1	-0.5926117809709347
ODZ3	-0.5868459576654725
RHOC	-0.5851762997708647
MRPL46	-0.5792307492707549
IL10RA	-0.5747830322808112
PMS2L3	-0.5713450371589129
ADSL	-0.5706415985614022
WNT16	-0.5692034552454929
LAMC3	-0.5676095044975789
SEPW1	-0.5507550934818389
213882_at	-0.5495659038687839
FLJ10948	-0.5494681156431679
LOC51619	-0.5470764052934052
DKFZp761O0113	-0.5434323620652807
221969_at	-0.5428793803754599
ZMYM1	-0.5412050624026058
ALS2CR3	-0.5376621294383157
TPD52L1	-0.536273692697152
222194_at	-0.5362254538330214
ATP6V0A2	-0.5354381378806011
RPS6KC1	-0.5348795939518091
ZFP64	-0.5329474356431145
CDKN1C	-0.5291450786206491
FANCE	-0.5280066913113647
GTF2H1	-0.5268797933310002
RNASEL	-0.5268237466337733
CGI-119	-0.5221753879589935
PLEKHJ1	-0.5210345650427777
FLJ23548	-0.5205373533407976
PXMP2	-0.5180205981988658
BZRP	-0.5114335675239511
CKLFSF6	-0.5108247698826051
C2orf28	-0.5069042396689096
KIAA0355	-0.5064977159435372
PARG1	-0.5059950527306221
RPL35A	-0.5049556066971455
PPA2	-0.5019196560112679
IER3	-0.5010559380931684
RIG	-0.49937808090220565
TCF21	-0.4965462094623605
UMOD	-0.49588753337840485
FLJ20674	-0.4943339105849053
UGCG	-0.4930535161386133
FLJ11029	-0.49213701914276736
MRPS14	-0.48935009428729237
KIF3B	-0.4892315339391881
C2orf31	-0.48900430088686014
FGF21	-0.48720739052794015
USP34	-0.4868366536937452
LOC388152 /// LOC388161 /// FLJ22795	-0.4847974113364403
NME1	-0.48294723846430865
POLR2L	-0.4825859143986154
RPL35	-0.48112774397872327
PSMA7	-0.4808051189230101
DKFZP566E144	-0.4803377532326583
217663_at	-0.473377734159249
IGFBP1	-0.47264068086440236
MR1	-0.4723610709364137
DSG3	-0.47215503962964905
GOLGA7	-0.47155736152504424
208238_x_at	-0.4701850172028378
206874_s_at	-0.46886316887571766
UTP14C	-0.4687963615970494
ZNF44	-0.46708125734716177
ZNF175	-0.4667328056713445
BRPF1	-0.4662847556211667
CTSL2	-0.4661792366851746
CENTA2	-0.46494726038927836
SLC2A5	-0.46386153200448754
LOH3CR2A	-0.46293264684306445
TIMM9	-0.4617059516579214
TBL1X	-0.4610625162301225
PTPN2	-0.4596306227549455
NDUFA2	-0.4585431353214164
CTDSP1	-0.4577877839493142
216781_at	-0.45689581435542775
KIF14	-0.4535705090410947
FLJ20045	-0.45285580658973096
DNAJD1	-0.45227795229515444
CNIH	-0.45172758970181165
FLJ38507	-0.45150333431640793
MOSPD1	-0.4508001028346267
FLJ11235	-0.4506883379852688
SUPT6H	-0.45044686611032214
TPARL	-0.44931748958319373
HSPC135	-0.44750943535407695
dJ222E13.1 /// SERHL	-0.44741495496833994
MGC14376	-0.44570568452687737
NDUFB2	-0.44561185844230594
KCNS3	-0.4442149583291573
ETAA16	-0.44328577715220574
FLJ23221	-0.4432368981430774
STXBP5L	-0.4425883503659482
ANGPT1	-0.4423112329454036
DUSP13	-0.44171189792804894
RAPSN	-0.44111675703850417
KRT24	-0.44060243707205776
WBSCR21	-0.4404959720402602
SSR2	-0.43822541769606316
SUMO3	-0.4369130461630464
HIG1	-0.4358246318783541
219800_s_at	-0.4356139223037122
212881_at	-0.43433704342261653
CCNH	-0.4343099248113361
210050_at	-0.43304753289864056
NUPL1	-0.4329498930514245
BTG3	-0.43273261349480363
S100A13	-0.4324405432094842
GLB1L	-0.4322668203321657
COX7A1	-0.4320182567811327
ADAMTS2	-0.4310272837542934
213565_s_at	-0.4302444385518514
SNN	-0.4300912030414729
AASS	-0.4298628757099176
218442_at	-0.4292163061191146
213179_at	-0.4291647317964994
PEX12	-0.42890956265085695
SMYD3	-0.4278949606353966
218623_at	-0.4262312824836783
RPS6	-0.42587765651760384
SEC24A	-0.4257417005954699
RPL26L1	-0.42488003051971146
PTPRF	-0.42389348644041974
HUMGT198A	-0.42307782198849125
FLJ12650	-0.42289377751320667
LAMR1	-0.4226686198512267
FOLR1	-0.4225924450810019
CARKL	-0.421315231798134
TMEM14B	-0.42105304851954883
UBE4B	-0.4208099174803282
216909_at	-0.4202198014241367
222339_x_at	-0.4201572563285727
JTB	-0.41970986418640543
GNAI3	-0.41865929610457264
KIAA0367	-0.41778561124967234
LETMD1	-0.41527626272155843
213821_s_at	-0.4151274443162649
CRYL1	-0.4150581796522318
ACP6	-0.41437163288759454
209478_at	-0.41404339644792443
CDH17	-0.41289739251247987
ERN1	-0.4126899624736777
ODC1	-0.41189929473576253
OPTN	-0.41023596096821197
SF3A3	-0.4097672461938567
ATP5E	-0.40858136169666187
TIMM17A	-0.4081223080127376
ERMAP	-0.4079978141283541
ABCA6	-0.4078708465171358
ZNF45	-0.40695874477926053
E2IG2	-0.4061430024155559
NDUFB6	-0.40601848975248606
KRTHB5	-0.40511581835366156
217608_at	-0.40511356891890016
ACE2	-0.40467949896370997
FBXO9	-0.4043272583105058
KIAA1466	-0.40424961892976863
SERPINB6	-0.4040908077940454
ARL5	-0.4035186974241861
UVRAG	-0.40341852101634496
217341_at	-0.402887972546776
MSRB	-0.40278193108139043
EPIM	-0.40263536629591506
217586_x_at	-0.40262063774263074
FLJ13315	-0.40238056103135783
SLC35A1	-0.40186080625581905
PROSC	-0.4007792475171491
IL11RA	-0.40050883499544554
MMP13	-0.40040225531419193
EPS8L2	-0.4002624247635639
216978_x_at	-0.3996585725803719
OR1D5 /// OR1D4	-0.3990770204528344
C20orf24	-0.3990334942340964
217579_x_at	-0.39900458265067584
CLDN8	-0.39888650362483896
217760_at	-0.3987476136767613
FLJ12476	-0.3984174861631184
C1D	-0.39824448114994043
LOC147343	-0.3982056776619429
SCN5A	-0.3979527380664986
MRPS33	-0.3975608864663149
DMBT1	-0.3973234557030557
ITGAE	-0.39729586421197816
FBXL6	-0.3972350271863417
MAGEB1	-0.3962654460349689
ERAL1	-0.39600837132880895
SNAI2	-0.39598817898664024
TAIP-2	-0.39558043560501616
HP	-0.3955138478415261
ITGB1BP1	-0.3953576001692879
214287_s_at	-0.39526230978988663
C9orf55	-0.3949972909158514
PVRL1	-0.39461664947121733
FLJ21272	-0.3945800346164703
217435_x_at	-0.39455936895300164
ASF1A	-0.39433503378764884
HDHD1A	-0.3941055225114288
216746_at	-0.3940634944542194
CYP2U1	-0.39376810821420416
TNFRSF8	-0.39369305970524454
MRP63	-0.3933934404998224
C9orf95	-0.3933272809996891
MIZF	-0.39320804186094455
ATP5O	-0.3919951464583269
COL11A1	-0.39182560902969754
MGC3265	-0.39159971017194056
213665_at	-0.39103300431081006
KIF4A	-0.3907376119427589
RPS26	-0.3906566829788371
CCNJ	-0.39047181130245884
